[2023-02-23T09:36:35.108] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:36:47.886] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:39:16.155] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:39:37.538] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:40:06.259] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=1&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:40:10.737] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=g&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:40:15.829] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:40:42.613] [INFO] access - path:/api/basic/enum/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:42:51.736] [INFO] access - path:/api/basic/enum/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:43:39.648] [INFO] access - path:/api/basic/enum/delete/4 | method:DELETE | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:44:05.324] [INFO] access - path:/api/basic/enum/delete/3 | method:DELETE | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:44:12.991] [INFO] access - path:/api/basic/enum/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:44:17.780] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T09:44:44.437] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:16:13.422] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:16:25.526] [INFO] access - path:/api/basic/enum/allByType?typeId=1&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:16:48.797] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=2 | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:16:50.395] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=2 | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:16:51.617] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=2 | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:16:59.239] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:18:21.478] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:18:34.825] [INFO] access - path:/api/basic/enum/allByType?typeId=1&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:20:08.160] [INFO] access - path:/api/basic/enum/allByType?typeId=1&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
